"Dairy distribution","Reference period","Kilolitres"
"Milk sold off farms","January 2000","645,517"
"Milk sold off farms","February 2000","607,427"
"Milk sold off farms","March 2000","654,776"
"Milk sold off farms","April 2000","634,304"
"Milk sold off farms","May 2000","655,108"
"Milk sold off farms","June 2000","628,098"
"Milk sold off farms","July 2000","624,835"
"Milk sold off farms","August 2000","619,370"
"Milk sold off farms","September 2000","599,226"
"Milk sold off farms","October 2000","614,492"
"Milk sold off farms","November 2000","592,401"
"Milk sold off farms","December 2000","623,059"
"Milk sold off farms","January 2001","639,603"
"Milk sold off farms","February 2001","584,385"
"Milk sold off farms","March 2001","652,556"
"Milk sold off farms","April 2001","639,621"
"Milk sold off farms","May 2001","670,631"
"Milk sold off farms","June 2001","631,033"
"Milk sold off farms","July 2001","635,280"
"Milk sold off farms","August 2001","629,684"
"Milk sold off farms","September 2001","608,464"
"Milk sold off farms","October 2001","622,854"
"Milk sold off farms","November 2001","607,744"
"Milk sold off farms","December 2001","634,543"
"Milk sold off farms","January 2002","653,393"
"Milk sold off farms","February 2002","591,857"
"Milk sold off farms","March 2002","653,353"
"Milk sold off farms","April 2002","633,641"
"Milk sold off farms","May 2002","637,730"
"Milk sold off farms","June 2002","609,016"
"Milk sold off farms","July 2002","605,734"
"Milk sold off farms","August 2002","597,771"
"Milk sold off farms","September 2002","576,692"
"Milk sold off farms","October 2002","598,193"
"Milk sold off farms","November 2002","589,200"
"Milk sold off farms","December 2002","629,169"
"Milk sold off farms","January 2003","642,069"
"Milk sold off farms","February 2003","577,959"
"Milk sold off farms","March 2003","640,124"
"Milk sold off farms","April 2003","623,175"
"Milk sold off farms","May 2003","651,433"
"Milk sold off farms","June 2003","631,602"
"Milk sold off farms","July 2003","640,220"
"Milk sold off farms","August 2003","627,412"
"Milk sold off farms","September 2003","610,139"
"Milk sold off farms","October 2003","625,060"
"Milk sold off farms","November 2003","609,843"
"Milk sold off farms","December 2003","643,640"
"Milk sold off farms","January 2004","652,657"
"Milk sold off farms","February 2004","614,986"
"Milk sold off farms","March 2004","663,216"
"Milk sold off farms","April 2004","645,780"
"Milk sold off farms","May 2004","668,403"
"Milk sold off farms","June 2004","642,103"
"Milk sold off farms","July 2004","647,341"
"Milk sold off farms","August 2004","640,425"
"Milk sold off farms","September 2004","615,030"
"Milk sold off farms","October 2004","630,577"
"Milk sold off farms","November 2004","612,387"
"Milk sold off farms","December 2004","641,808"
"Milk sold off farms","January 2005","650,630"
"Milk sold off farms","February 2005","591,871"
"Milk sold off farms","March 2005","656,254"
"Milk sold off farms","April 2005","639,020"
"Milk sold off farms","May 2005","660,203"
"Milk sold off farms","June 2005","631,997"
"Milk sold off farms","July 2005","635,309"
"Milk sold off farms","August 2005","636,459"
"Milk sold off farms","September 2005","608,725"
"Milk sold off farms","October 2005","623,734"
"Milk sold off farms","November 2005","606,366"
"Milk sold off farms","December 2005","638,560"
"Milk sold off farms","January 2006","652,032"
"Milk sold off farms","February 2006","589,938"
"Milk sold off farms","March 2006","648,832"
"Milk sold off farms","April 2006","623,768"
"Milk sold off farms","May 2006","639,954"
"Milk sold off farms","June 2006","610,668"
"Milk sold off farms","July 2006","615,138"
"Milk sold off farms","August 2006","618,529"
"Milk sold off farms","September 2006","598,000"
"Milk sold off farms","October 2006","612,929"
"Milk sold off farms","November 2006","597,868"
"Milk sold off farms","December 2006","627,493"
"Milk sold off farms","January 2007","635,204"
"Milk sold off farms","February 2007","571,520"
"Milk sold off farms","March 2007","635,338"
"Milk sold off farms","April 2007","626,525"
"Milk sold off farms","May 2007","658,945"
