"Milk production and utilization c 1"
"Frequency: Monthly"
"Table: 32-10-0113-01 (formerly CANSIM 003-0011)"
"Release date: 2025-06-10"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada"
"Dairy distribution 2","Reference period"
,,"Kilolitres"
"Milk sold off farms, total","January 2000","645,517"
,"February 2000","607,427"
,"March 2000","654,776"
,"April 2000","634,304"
,"May 2000","655,108"
,"June 2000","628,098"
,"July 2000","624,835"
,"August 2000","619,370"
,"September 2000","599,226"
,"October 2000","614,492"
,"November 2000","592,401"
,"December 2000","623,059"
,"January 2001","639,603"
,"February 2001","584,385"
,"March 2001","652,556"
,"April 2001","639,621"
,"May 2001","670,631"
,"June 2001","631,033"
,"July 2001","635,280"
,"August 2001","629,684"
,"September 2001","608,464"
,"October 2001","622,854"
,"November 2001","607,744"
,"December 2001","634,543"
,"January 2002","653,393"
,"February 2002","591,857"
,"March 2002","653,353"
,"April 2002","633,641"
,"May 2002","637,730"
,"June 2002","609,016"
,"July 2002","605,734"
,"August 2002","597,771"
,"September 2002","576,692"
,"October 2002","598,193"
,"November 2002","589,200"
,"December 2002","629,169"
,"January 2003","642,069"
,"February 2003","577,959"
,"March 2003","640,124"
,"April 2003","623,175"
,"May 2003","651,433"
,"June 2003","631,602"
,"July 2003","640,220"
,"August 2003","627,412"
,"September 2003","610,139"
,"October 2003","625,060"
,"November 2003","609,843"
,"December 2003","643,640"
,"January 2004","652,657"
,"February 2004","614,986"
,"March 2004","663,216"
,"April 2004","645,780"
,"May 2004","668,403"
,"June 2004","642,103"
,"July 2004","647,341"
,"August 2004","640,425"
,"September 2004","615,030"
,"October 2004","630,577"
,"November 2004","612,387"
,"December 2004","641,808"
,"January 2005","650,630"
,"February 2005","591,871"
,"March 2005","656,254"
,"April 2005","639,020"
,"May 2005","660,203"
,"June 2005","631,997"
,"July 2005","635,309"
,"August 2005","636,459"
,"September 2005","608,725"
,"October 2005","623,734"
,"November 2005","606,366"
,"December 2005","638,560"
,"January 2006","652,032"
,"February 2006","589,938"
,"March 2006","648,832"
,"April 2006","623,768"
,"May 2006","639,954"
,"June 2006","610,668"
,"July 2006","615,138"
,"August 2006","618,529"
,"September 2006","598,000"
,"October 2006","612,929"
,"November 2006","597,868"
,"December 2006","627,493"
,"January 2007","635,204"
,"February 2007","571,520"
,"March 2007","635,338"
,"April 2007","626,525"
,"May 2007","658,945"
,"June 2007","640,858"
,"July 2007","653,504"
,"August 2007","646,987"
,"September 2007","618,472"
,"October 2007","633,545"
,"November 2007","618,673"
,"December 2007","647,391"
,"January 2008","659,566"
,"February 2008","617,224"
,"March 2008","656,048"
,"April 2008","636,256"
,"May 2008","655,982"
,"June 2008","628,102"
,"July 2008","634,820"
,"August 2008","627,469"
,"September 2008","604,720"
,"October 2008","620,364"
,"November 2008","607,060"
,"December 2008","637,351"
,"January 2009","645,482"
,"February 2009","587,891"
,"March 2009","653,421"
,"April 2009","637,310"
,"May 2009","661,109"
,"June 2009","640,120"
,"July 2009","651,895"
,"August 2009","642,956"
,"September 2009","624,689"
,"October 2009","636,799"
,"November 2009","622,529"
,"December 2009","649,021"
,"January 2010","657,474"
,"February 2010","595,253"
,"March 2010","658,897"
,"April 2010","641,358"
,"May 2010","662,492"
,"June 2010","635,898"
,"July 2010","641,278"
,"August 2010","648,002"
